Series Name,Country Name,1990,2000,2013,2014,2015,2016,2017,2018,2019,2020
Total greenhouse gas emissions (kt of CO2 equivalent),Cameroon,22792.04228,86000.34183,86705.138,88018.74226,89900.98421,91280.78223,90654.59205,91747.67378,92152.5733,93348.64392
Total greenhouse gas emissions (kt of CO2 equivalent),Canada,543049.4519,648194.3571,702661.421,710549.609,708799.9174,709180.1212,725612.8229,742232.5371,726904.1199,677709.2227
Total greenhouse gas emissions (kt of CO2 equivalent),Chad,14595.47821,34514.9194,62716.78711,65261.99617,69860.08103,74323.30173,76767.20462,81268.12762,84292.90771,89558.45681
Total greenhouse gas emissions (kt of CO2 equivalent),Chile,45415.91931,70030.0334,103897.7388,96490.37495,102210.7159,106621.636,107321.0615,107364.6255,113466.4538,106722.3342
Total greenhouse gas emissions (kt of CO2 equivalent),China,3238858.656,4567274.433,11861843.52,11940737.42,11804696.79,11773340.79,12014198.87,12524335.16,12732245.13,12942868.34
Total greenhouse gas emissions (kt of CO2 equivalent),Colombia,124703.6395,141245.692,172344.8462,175835.9665,175033.6574,178893.9855,174466.4908,182787.6556,186444.7985,186999.3355
Total greenhouse gas emissions (kt of CO2 equivalent),Comoros,258.076718,304.466998,471.126282,458.308745,476.310008,505.139902,568.532195,593.247488,618.479881,619.946774
Total greenhouse gas emissions (kt of CO2 equivalent),"Congo, Dem. Rep.",38391.29991,34138.39892,50963.47157,52890.71341,52645.93945,52491.41857,55524.36469,53561.37402,55443.09684,56120.40776
Total greenhouse gas emissions (kt of CO2 equivalent),"Congo, Rep.",10143.19831,13091.71866,15818.85907,15290.14487,15852.59287,15480.20014,16159.3014,18752.36987,20022.05923,19421.77959
Total greenhouse gas emissions (kt of CO2 equivalent),Costa Rica,8492.885741,10415.03619,14390.80079,14438.24508,14296.03177,15103.53237,15440.86498,15749.85459,15718.67899,14405.0866
Total greenhouse gas emissions (kt of CO2 equivalent),Cote d'Ivoire,9027.642098,25736.87342,21931.4159,21811.47133,22619.38655,24077.52629,24648.21623,24551.12647,25646.69991,26412.28115
Total greenhouse gas emissions (kt of CO2 equivalent),Croatia,28569.6077,25205.81114,22803.44883,21998.12626,22609.48542,22671.43852,23319.27005,22213.71599,22302.06393,21379.32606
Total greenhouse gas emissions (kt of CO2 equivalent),Cuba,54701.05486,43543.71858,44642.78112,42540.0504,44506.83057,42569.13595,41247.87473,41721.43901,39353.62809,38558.67367
Total greenhouse gas emissions (kt of CO2 equivalent),Cyprus,5440.329468,8154.548029,7739.793469,8137.045114,8213.804434,8598.436545,8737.878187,8560.320828,8541.86797,8109.206812
Total greenhouse gas emissions (kt of CO2 equivalent),Czechia,184942.4971,145672.3692,123329.6396,120621.652,122514.148,124271.9489,124327.6965,123073.8691,117767.1074,108308.4176
Total greenhouse gas emissions (kt of CO2 equivalent),Denmark,69121.51836,70523.49979,54525.65812,50328.46514,48303.77416,49939.3101,47663.42765,47108.3564,43569.79676,41135.55451
Total greenhouse gas emissions (kt of CO2 equivalent),Djibouti,912.456036,1221.999956,1477.726884,1329.890501,1382.482818,1340.937804,1349.732889,1367.777974,1388.224359,1394.763044
Total greenhouse gas emissions (kt of CO2 equivalent),Dominica,189.257789,192.511952,237.702734,244.944213,247.524891,247.984768,231.784244,231.66652,241.979596,230.526372
